Datetime,Tweet Id,Text,Username
2022-04-01 07:05:34+00:00,1509789047228895234,"['lg', 'cek', 'trending', 'mbanking', 'bca', 'mastiin', 'lg', 'error']",HaiFinsa
2022-04-01 07:05:32+00:00,1509789039721086979,"['mbanking', 'bca', 'knp', 'dah']",rosacantik_
2022-04-01 07:05:28+00:00,1509789025418514434,"['gue', 'pikir', 'mbanking', 'bca', 'gue', 'error', 'stlh', 'cek', 'google', 'ganggu', 'https']",NovitaRasyid2
2022-04-01 07:05:28+00:00,1509789022696382467,"['mbanking', 'bca', 'be', 'like', 'april', 'mop', 'baby']",biskuitpemarah
2022-04-01 07:05:23+00:00,1509789001938792448,"['mbanking', 'bca', 'koq', 'parah', 'sih', 'bank', 'ganggu', 'mulu', 'goodlifebca']",Resti1031
2022-04-01 07:05:18+00:00,1509788980057116672,"['halobca', 'mbanking', 'bca', 'ganggu']",TKsumberterang
2022-04-01 07:05:13+00:00,1509788959714385921,"['oalah', 'mbanking', 'bca', 'mbankingbca', 'https']",raihanfawwaz_
2022-04-01 07:05:09+00:00,1509788945076215808,"['mbanking', 'bca', 'eror', 'hubung', 'call', 'center', 'cari', 'info', 'twitter', 'halobca', 'goodlifebca', 'bankbca', 'https']",anthonvm
2022-04-01 07:05:01+00:00,1509788909646929921,"['mbanking', 'bca', 'ngapa', 'eror', 'pas', 'tanggal', 'gaji']",bakpiyaaaa
2022-04-01 07:04:59+00:00,1509788903103815683,"['biasa', 'lg', 'urgent', 'mbanking', 'bca', 'error']",nievescanm
2022-04-01 07:04:54+00:00,1509788882958970882,"['mbanking', 'bca', 'error', 'wae', 'belegug']",Andredesember_
2022-04-01 07:04:46+00:00,1509788847017627648,"['mbanking', 'bca', 'error', 'pas', 'gaji', 'aswww', 'https']",pujaoktairwnt
2022-04-01 07:04:43+00:00,1509788834586050560,"['mbanking', 'bca', 'ganggu', 'zzzzzz']",muthiariskyf
2022-04-01 07:04:42+00:00,1509788832841236486,"['mbanking', 'bca', 'trending', 'topik', 'pait', 'dah']",bingunggalau
2022-04-01 07:04:38+00:00,1509788815363571714,"['mbanking', 'bca', 'eror']",dittakristin1
2022-04-01 07:04:33+00:00,1509788791628009476,"['dah', 'capek', 'ngantri', 'atm', 'mbanking', 'bca', 'error', 'ajg']",archifin21
2022-04-01 07:04:29+00:00,1509788776758882306,"['mbanking', 'bca', 'eror']",elmocuu
2022-04-01 07:04:27+00:00,1509788770207350784,"['astaghfirullah', 'ni', 'mbanking', 'bca', 'kalo', 'perluin', 'error', 'gin', 'sih', 'urgent', 'urgent']",banyubiru1992
2022-04-01 07:04:25+00:00,1509788759050821633,"['cigarlattee', 'mbanking', 'bca', 'muk', 'isi', 'sopipay', 'gabisaa', 'muk', 'beli', 'mam', 'laper']",thisisgreeny
2022-04-01 07:04:15+00:00,1509788716956811264,"['mbanking', 'bca', 'deh']",KiyomiSissy
2022-04-01 07:04:10+00:00,1509788698686390273,"['mbanking', 'bca', 'nape', 'dah']",Nandadyntt
2022-04-01 07:04:06+00:00,1509788678926655488,"['mbanking', 'bca', 'trouble', 'kah']",JJntlie
2022-04-01 07:04:05+00:00,1509788674115788801,"['ku', 'mbanking', 'bca', 'ku', 'aja', 'yg', 'error', 'cek', 'twitter', 'eh', 'beneran', 'error', 'twitter', 'emang', 'tmpt', 'cari', 'info', 'valid', 'wkwk']",ulfa_alief
2022-04-01 07:04:04+00:00,1509788669842169857,"['mbanking', 'bca', 'eror', 'mulu', 'dh']",huangzjun
2022-04-01 07:03:58+00:00,1509788647947612167,"['nendeuk', 'mbanking', 'bca', 'error', 'kak']",moistuizer
2022-04-01 07:03:55+00:00,1509788633771175940,"['imsasasasa', 'diem', 'sa', 'mbanking', 'bca', 'error', 'nih']",Vivitataaaa
2022-04-01 07:03:46+00:00,1509788594722193409,"['mbanking', 'bca', 'are', 'u', 'okey', 'gila', 'aja', 'ganggu', 'kali', 'bank', 'swasta', 'tpi', 'kualitas']",GopelCah
